Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-12-17;74809456;1657808;42216011;2.22;56.43;41.35
2020-12-16;74312897;1649316;42000649;2.22;56.52;41.26
2020-12-15;73578476;1635787;41639004;2.22;56.59;41.19
2020-12-14;72952592;1621786;47680014;2.22;65.36;32.42
2020-12-13;72428976;1612782;47272654;2.23;65.27;32.51
2020-12-12;71894641;1605592;46881108;2.23;65.21;32.56
2020-12-11;71255863;1595174;45373244;2.24;63.68;34.08
2020-12-10;70558287;1582255;44894374;2.24;63.63;34.13
2020-12-09;69065295;1569792;44405143;2.27;64.29;33.43
2020-12-08;68394896;1557220;43979196;2.28;64.30;33.42
2020-12-07;67694538;1544884;43538473;2.28;64.32;33.40
2020-12-06;67176784;1536407;43126841;2.29;64.20;33.51
2020-12-05;66643089;1529219;42812893;2.29;64.24;33.46
2020-12-04;66002417;1519021;42375035;2.30;64.20;33.50
2020-12-03;65323959;1506609;41954548;2.31;64.23;33.47
2020-12-02;64633369;1494091;41518775;2.31;64.24;33.45
2020-12-01;63986746;1481655;41057391;2.32;64.17;33.52
2020-11-30;63381559;1468806;40581812;2.32;64.03;33.65
2020-11-29;62875510;1460119;40180425;2.32;63.90;33.77
2020-11-28;62388796;1453200;39854327;2.33;63.88;33.79
2020-11-27;61789548;1443451;39498584;2.34;63.92;33.74
2020-11-26;61117378;1432828;39122049;2.34;64.01;33.64
2020-11-25;60536107;1422087;38756871;2.35;64.02;33.63
2020-11-24;59860692;1409587;38289808;2.35;63.96;33.68
2020-11-23;59272239;1396802;37918382;2.36;63.97;33.67
2020-11-22;58750214;1388486;37508309;2.36;63.84;33.79
2020-11-21;58266415;1381405;37234667;2.37;63.90;33.72
2020-11-20;57679881;1372619;36896290;2.38;63.97;33.65
2020-11-19;57013698;1360778;36541036;2.39;64.09;33.52
2020-11-18;56363111;1349805;36168192;2.39;64.17;33.44
2020-11-17;55739179;1338433;35805271;2.40;64.24;33.36
